DateCrawled,Price,VehicleType,RegistrationYear,Gearbox,Power,Model,Mileage,RegistrationMonth,FuelType,Brand,NotRepaired,DateCreated,NumberOfPictures,PostalCode,LastSeen
24/03/2016 11:52,480,,1993,manual,0,golf,150000,0,petrol,volkswagen,,24/03/2016 00:00,0,70435,07/04/2016 03:16
24/03/2016 10:58,18300,coupe,2011,manual,190,,125000,5,gasoline,audi,yes,24/03/2016 00:00,0,66954,07/04/2016 01:46
14/03/2016 12:52,9800,suv,2004,auto,163,grand,125000,8,gasoline,jeep,,14/03/2016 00:00,0,90480,05/04/2016 12:47
17/03/2016 16:54,1500,small,2001,manual,75,golf,150000,6,petrol,volkswagen,no,17/03/2016 00:00,0,91074,17/03/2016 17:40
31/03/2016 17:25,3600,small,2008,manual,69,fabia,90000,7,gasoline,skoda,no,31/03/2016 00:00,0,60437,06/04/2016 10:17
04/04/2016 17:36,650,sedan,1995,manual,102,3er,150000,10,petrol,bmw,yes,04/04/2016 00:00,0,33775,06/04/2016 19:17
01/04/2016 20:48,2200,convertible,2004,manual,109,2_reihe,150000,8,petrol,peugeot,no,01/04/2016 00:00,0,67112,05/04/2016 18:18
21/03/2016 18:54,0,sedan,1980,manual,50,other,40000,7,petrol,volkswagen,no,21/03/2016 00:00,0,19348,25/03/2016 16:47
04/04/2016 23:42,14500,bus,2014,manual,125,c_max,30000,8,petrol,ford,,04/04/2016 00:00,0,94505,04/04/2016 23:42
17/03/2016 10:53,999,small,1998,manual,101,golf,150000,0,,volkswagen,,17/03/2016 00:00,0,27472,31/03/2016 17:17
26/03/2016 19:54,2000,sedan,2004,manual,105,3_reihe,150000,12,petrol,mazda,no,26/03/2016 00:00,0,96224,06/04/2016 10:45
07/04/2016 10:06,2799,wagon,2005,manual,140,passat,150000,12,gasoline,volkswagen,yes,07/04/2016 00:00,0,57290,07/04/2016 10:25
15/03/2016 22:49,999,wagon,1995,manual,115,passat,150000,11,petrol,volkswagen,,15/03/2016 00:00,0,37269,01/04/2016 13:16
21/03/2016 21:37,2500,wagon,2004,manual,131,passat,150000,2,,volkswagen,no,21/03/2016 00:00,0,90762,23/03/2016 02:50
21/03/2016 12:57,17999,suv,2011,manual,190,navara,70000,3,gasoline,nissan,no,21/03/2016 00:00,0,4177,06/04/2016 07:45
11/03/2016 21:39,450,small,1910,,0,ka,5000,0,petrol,ford,,11/03/2016 00:00,0,24148,19/03/2016 08:46
